geo\time,2006,2007,2008,2009,2010,2011,2013,2014,2015
Rég. Bruxelles / Brussels Gewest,"1,5569","1,5756","1,5623","1,5814","1,4938","1,5275","1,8659","1,8549","2,0138"
Prov. Antwerpen,"0,9447","0,9218","0,7376","0,783","0,9686","1,0328","0,9998","1,0723","1,1046"
Prov. Limburg (BE),"0,3238","0,3344","0,3194","0,3685","0,3657","0,3842","0,4532","0,5619","0,5792"
Prov. Oost-Vlaanderen,"0,8385","0,8935","0,9265","0,9678","1,0261","1,0542","1,1365","1,2762","1,3023"
Prov. Vlaams-Brabant,"1,4704","1,4816","1,6765","1,6793","1,815","1,832","1,8914","1,9637","2,035"
Prov. West-Vlaanderen,"0,3618","0,3592","0,3545","0,3663","0,3155","0,364","0,5167","0,5007","0,5286"
Prov. Brabant Wallon,"1,9212","1,8938","1,5508","1,7744","1,9585","2,1286","2,7666","3,0993","2,8034"
Prov. Hainaut,"0,3098","0,3084","0,3781","0,4275","0,457","0,4971","0,4233","0,5427","0,6178"
Prov. Liège,"0,5831","0,627","0,675","0,6796","0,7634","0,7533","0,7232","0,8527","0,9501"
Prov. Luxembourg (BE),"0,1197","0,1109","0,1127","0,104","0,1246","0,1377","0,0677","0,1149","0,1201"
Prov. Namur,"0,5191","0,5211","0,6201","0,6489","0,378","0,3873","0,3532","0,537","0,6659"
